uid,restaurant,item_name,verdict,field,current,should_be,evidence
0,SRQS8F7JWA9MZ,Gold Standard - Bacon,ERROR,breakfast_sausage_patty,TRUE,FALSE,"menu: Gold Standard = eggs/cheddar + CHOICE of bacon OR Impossible sausage; the bacon variant has no sausage patty"
115,L69HYJ4Y3TR91,Breakfast Sandwich,ERROR,egg,FALSE,TRUE,"menu: 'Deliciously peppered egg, American cheese, and your choice of...'"
115,L69HYJ4Y3TR91,Breakfast Sandwich,ERROR,savory_dairy,FALSE,TRUE,"menu: American cheese in base"
128,L69HYJ4Y3TR91,Grilled Chicken Sandwich,ERROR,fried_chicken,TRUE,FALSE,"menu: 'Grilled chicken breast' - belongs in unfried_chicken"
128,L69HYJ4Y3TR91,Grilled Chicken Sandwich,ERROR,unfried_chicken,FALSE,TRUE,"menu: grilled chicken breast"
128,L69HYJ4Y3TR91,Grilled Chicken Sandwich,ERROR,breakfast_sausage_patty,TRUE,FALSE,"menu lists no sausage in this sandwich"
128,L69HYJ4Y3TR91,Grilled Chicken Sandwich,ERROR,bacon,FALSE,TRUE,"menu: 'smoked bacon'"
128,L69HYJ4Y3TR91,Grilled Chicken Sandwich,ERROR,savory_dairy,FALSE,TRUE,"menu: 'melted cheddar cheese' (currently tagged sweet_dairy)"
128,L69HYJ4Y3TR91,Grilled Chicken Sandwich,ERROR,sweet_dairy,TRUE,FALSE,"cheddar is savory not sweet"
22,2HRX9P6HKXA8V,German Potato Salad,ERROR,fried_chicken,TRUE,FALSE,"menu ingredient list: POTATOES WATER SOYBEAN OIL SUGAR UNCURED BACON VINEGAR - no chicken"
22,2HRX9P6HKXA8V,German Potato Salad,ERROR,savory_dairy,TRUE,FALSE,"menu ingredient list contains no dairy"
82,JHDN7CF1C03X5,Quinoa Chickpeas,ERROR,mpbamod,FALSE,TRUE,"modifications include 'Regular Add Un'Chicken' (15 orders) - alt protein offered"
72,JHDN7CF1C03X5,Mediterranean Salad,QUESTIONABLE,unfried_chicken,TRUE,FALSE,"chicken appears only as an add-on: 'Full Add Chicken Breast' x93; per convention base dish likely excludes it"
315,W8T41JZK0ZMEP,Lion'S Mane Crab Cakes,QUESTIONABLE,chunked_beef_or_pork/ground_meat,TRUE,?,"mushroom-based seafood analog; neither beef nor pork - no seafood category exists"
335,W8T41JZK0ZMEP,Pineapple Coconut Rice Bowl,QUESTIONABLE,sweet_dairy,TRUE,FALSE,"coconut is not dairy; no dairy evident in mods"
292,W8T41JZK0ZMEP,Banh Mi,QUESTIONABLE,savory_dairy,TRUE,FALSE,"banh mi has pate/mayo not cheese; no supporting mod evidence"
293,W8T41JZK0ZMEP,Chicken Curry Couscous On Greens,QUESTIONABLE,mpbamod,FALSE,?,"other bowls at this venue offer Plant-Based Chicken"
146,L69HYJ4Y3TR91,Keto Cinnamon Rolls,QUESTIONABLE,vegetarian,FALSE,TRUE,"cinnamon roll flagged non-vegetarian with no meat category"
51,JHDN7CF1C03X5,Mango Mania,QUESTIONABLE,sweet_dairy,TRUE,?,"whey appears as an add-on 'Whey Protein X 1' not clearly in base"
23,2HRX9P6HKXA8V,Potato Chips,QUESTIONABLE,vegan,FALSE,?,"no category flagged; vegan=FALSE unexplained"
191,ED5J990H5VAZT,Danish Blueberry,QUESTIONABLE,savory_dairy,TRUE,?,"savory_dairy on a sweet pastry alongside sweet_dairy"
208,ED5J990H5VAZT,Croissant Chocolate,QUESTIONABLE,savory_dairy,TRUE,?,"same pattern as Danish Blueberry"
